"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","1849","533","364","138","296","134","68","64","54","62","14","19","0","13","0","13","0","13","213","121","201","116","12","21","0","13","0","13","0","13","70","65","0","13","138","140","223","187","0","13","841","498",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","1836","292","369","133","291","139","78","56","78","56","0","13","0","13","0","13","0","13","416","147","396","148","0","13","6","9","14","24","0","13","70","66","0","13","108","55","406","151","0","13","467","167",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","1279","429","378","162","263","135","115","81","71","70","44","49","0","13","0","13","0","13","147","92","131","87","0","13","0","13","16","26","0","13","45","54","0","13","15","24","424","380","28","36","242","167",
"1400000US06075011101","Census Tract 111.01; San Francisco County; California","1818","321","343","188","298","181","45","51","0","13","0","13","28","42","17","27","0","13","473","168","366","135","10","16","24","26","73","71","0","13","0","13","0","13","61","53","484","162","93","85","364","156",
"1400000US06075011102","Census Tract 111.02; San Francisco County; California","1524","411","147","141","147","141","0","13","0","13","0","13","0","13","0","13","0","13","375","141","294","124","0","13","61","57","20","27","0","13","161","140","0","13","25","28","631","305","55","56","130","99",
"1400000US06075011200","Census Tract 112; San Francisco County; California","1771","309","285","104","240","97","45","43","35","35","10","15","0","13","0","13","0","13","335","122","269","119","30","32","12","19","24","26","0","13","54","38","0","13","11","17","580","152","7","13","499","212",
"1400000US06075011300","Census Tract 113; San Francisco County; California","1268","313","206","149","152","130","54","66","15","24","39","61","0","13","0","13","0","13","281","96","243","92","15","24","0","13","23","26","0","13","12","20","5","12","0","13","433","149","0","13","331","164",
"1400000US06075011700","Census Tract 117; San Francisco County; California","1149","213","150","95","105","79","45","65","0","13","0","13","19","28","26","37","0","13","257","121","222","116","18","21","17","26","0","13","0","13","0","13","0","13","0","13","521","150","22","26","199","80",
"1400000US06075011800","Census Tract 118; San Francisco County; California","823","187","71","40","44","34","27","29","0","13","27","29","0","13","0","13","0","13","268","96","255","96","6","9","7","10","0","13","0","13","0","13","0","13","10","12","318","90","21","17","135","82",
"1400000US06075011901","Census Tract 119.01; San Francisco County; California","1657","247","194","85","176","78","18","25","3","9","15","24","0","13","0","13","0","13","280","117","177","96","79","75","15","18","9","13","0","13","63","63","0","13","18","21","739","178","42","33","321","119",
"1400000US06075011902","Census Tract 119.02; San Francisco County; California","1522","319","162","71","134","60","28","42","0","13","28","42","0","13","0","13","0","13","391","152","187","80","204","134","0","13","0","13","0","13","0","13","0","13","0","13","578","151","22","29","369","172",
"1400000US06075012001","Census Tract 120.01; San Francisco County; California","1395","350","184","98","131","99","53","5","53","5","0","13","0","13","0","13","0","13","307","226","255","214","52","83","0","13","0","13","0","13","18","29","50","72","19","23","395","126","54","85","368","224",
"1400000US06075012002","Census Tract 120.02; San Francisco County; California","1187","270","225","72","102","70","123","23","112","15","11","16","0","13","0","13","0","13","256","121","175","96","81","77","0","13","0","13","0","13","12","22","12","21","218","177","312","132","0","13","152","144",
