OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
636,80,Haight St & Fillmore St,,37.77212,"122° 25' 48.000"" W",-1,-1,-1,-1,-1,-1,37,37,81,-1,,-1,-1,POINT (-122.43 37.77212),03/06/2020 01:12:30 PM,,Hayes Valley,5,9,26,26,4,11
665,108,Cervantes Blvd & Fillmore St,,37.80276,"122° 26' 13.200"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.437 37.80276),03/06/2020 01:20:19 PM,,Marina,2,13,17,17,4,6
588,32,Panhandle/Masonic Avenue & Fell Street,,37.77298,"122° 26' 45.600"" W",152,172,212,228,244,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.446 37.77298),03/06/2020 01:11:40 PM,,Golden Gate Park,5,12,24,24,7,11
572,6,The Embarcadero & Townsend St,,37.781800000000004,"122° 23' 16.800"" W",195,259,319,315,366,651,666,666,653,615,,731,799,POINT (-122.388 37.7818),03/06/2020 01:18:23 PM,,Mission Bay,6,4,31,31,1,10
667,110,Filbert St & Powell St,,37.80117,"122° 24' 39.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.411 37.80117),03/06/2020 01:13:03 PM,,North Beach,3,23,106,106,6,3
673,116,11th St & Division St,,37.76945,"122° 24' 39.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.411 37.76945),03/06/2020 01:20:20 PM,,Mission,6,20,32,32,3,10
605,49,Paul Ave & San Bruno Ave,,37.72392,"122° 24' 7.200"" W",-1,-1,-1,-1,-1,14,,,-1,0,,-1,-1,POINT (-122.402 37.72392),03/06/2020 01:20:13 PM,,Portola,9,25,91,91,2,2
597,41,Market St & Church/14th St,,37.76761,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,500,340,340,288,432,,-1,-1,POINT (-122.429 37.76761),03/06/2020 01:18:44 PM,,Castro/Upper Market,8,5,28,28,3,5
606,50,19th Ave & Sloat Blvd,,37.734559999999995,"122° 28' 30.000"" W",-1,-1,-1,-1,-1,61,11,11,12,0,,-1,-1,POINT (-122.475 37.73456),03/06/2020 01:19:44 PM,,West of Twin Peaks,7,41,62,62,10,8
635,79,Haight St & Divisadero St,,37.77126,"122° 26' 13.200"" W",-1,-1,-1,-1,-1,-1,72,72,75,-1,,-1,-1,POINT (-122.437 37.77126),03/06/2020 01:12:29 PM,,Haight Ashbury,5,3,26,26,4,11
617,61,Howard St & The Embarcadero,,37.79233,"122° 23' 27.600"" W",-1,-1,-1,-1,-1,-1,808,808,493,-1,,-1,-1,POINT (-122.391 37.79233),03/06/2020 01:12:10 PM,,Financial District/South Beach,6,8,108,108,1,10
658,101,22nd St & Valencia St,,37.75531,"122° 25' 15.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.421 37.75531),03/06/2020 01:12:54 PM,,Mission,9,20,52,52,3,5
639,83,California St & Spruce St,,37.7864,"122° 27' 10.800"" W",-1,-1,-1,-1,-1,-1,20,20,33,-1,,-1,-1,POINT (-122.453 37.7864),03/06/2020 01:12:33 PM,,Presidio Heights,2,31,11,11,8,6
598,42,19th Ave & Lincoln Way,,37.76544,"122° 28' 37.200"" W",-1,-1,-1,-1,-1,66,15,15,23,0,,-1,-1,POINT (-122.477 37.76544),03/06/2020 01:19:42 PM,,Inner Sunset,7,14,109,109,10,7
567,1,Market St & 11th St,,37.775600000000004,"122° 25' 8.400"" W",545,585,726,808,818,1396,-1,-1,-1,1173,,-1,-1,POINT (-122.419 37.7756),03/06/2020 01:16:46 PM,,Tenderloin,6,36,21,21,4,10
571,5,2nd St & Townsend,,37.78062,"122° 23' 27.600"" W",101,107,140,133,129,233,413,413,485,199,,576,490,POINT (-122.391 37.78062),03/06/2020 01:19:06 PM,,Financial District/South Beach,6,8,31,31,1,10
666,109,Folsom St & Cesar Chavez St,,37.74827,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.414 37.74827),03/06/2020 01:13:02 PM,,Bernal Heights,9,2,53,53,3,2
603,47,Page St & Stanyan St,,37.7701,"122° 27' 14.400"" W",-1,-1,-1,-1,-1,138,108,108,166,0,,-1,-1,POINT (-122.454 37.7701),03/06/2020 01:19:18 PM,,Golden Gate Park,5,12,9,9,7,11
609,53,Kearny St & Bush St,,37.790769999999995,"122° 24' 14.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.404 37.79077),03/06/2020 01:12:03 PM,,Financial District/South Beach,3,8,108,108,6,3
