OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
448,20,Portola Dr & Woodside Ave/ O'Shaughnessy,,37.74559,"122° 27' 7.200"" W",23,29,29,28,11,30,33,33,14,24,,68,62,POINT (-122.452 37.74559),03/06/2020 01:20:07 PM,,West of Twin Peaks,7,41,49,49,7,8
439,11,Polk St & Sutter St,,37.78776,"122° 25' 12.000"" W",158,181,209,203,258,336,432,432,446,263,,481,367,POINT (-122.42 37.78776),03/06/2020 01:18:51 PM,,Nob Hill,3,21,50,50,4,3
647,91,17th & Mississippi,,37.76524,"122° 23' 42.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,239,POINT (-122.395 37.76524),03/06/2020 01:12:42 PM,,Mission Bay,10,4,54,54,1,9
628,72,Mission St & 24th St,,37.75226,"122° 25' 4.800"" W",-1,-1,-1,-1,-1,-1,116,116,115,-1,,-1,-1,POINT (-122.418 37.75226),03/06/2020 01:12:21 PM,,Mission,9,20,53,53,3,2
440,12,Polk St & McAllister St,,37.78027,"122° 25' 8.400"" W",223,266,295,309,311,497,680,680,668,0,,819,751,POINT (-122.419 37.78027),03/06/2020 01:18:46 PM,,Tenderloin,5,36,21,21,4,10
443,15,Mariposa St/ Terry Francois & Illinois St,,37.76439,"122° 23' 16.800"" W",36,62,56,78,74,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.388 37.76439),03/06/2020 01:11:13 PM,,Potrero Hill,6,26,34,34,2,10
659,102,36th Ave & Cabrillo St,,37.773900000000005,"122° 29' 45.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.496 37.7739),03/06/2020 01:12:55 PM,,Outer Richmond,1,29,8,8,8,4
626,70,22nd St & Folsom St,,37.75572,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,275,275,365,-1,,-1,-1,POINT (-122.414 37.75572),03/06/2020 01:12:19 PM,,Mission,9,20,53,53,3,2
582,26,Great Hwy & Sloat Blvd,,37.73541,"122° 30' 25.200"" W",50,-1,39,82,38,-1,35,35,62,-1,,-1,-1,POINT (-122.507 37.73541),03/06/2020 01:11:34 PM,,Lakeshore,7,16,43,43,,8
600,44,Golden Gate Bridge,,37.81827,"122° 28' 40.800"" W",-1,-1,-1,-1,-1,378,547,547,-1,400,,-1,-1,POINT (-122.478 37.81827),03/06/2020 01:18:48 PM,,,,,,,,
657,100,20th Ave & Kirkham St,,37.759789999999995,"122° 28' 40.800"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,-1,-1,POINT (-122.478 37.75979),03/06/2020 01:20:19 PM,,Sunset/Parkside,4,35,39,39,10,7
642,86,Church St & Duboce Ave,,37.769459999999995,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,843,843,772,0,,-1,-1,POINT (-122.429 37.76946),03/06/2020 01:20:09 PM,,Hayes Valley,8,9,28,28,7,5
651,94,Folsom St & 8th St,,37.774989999999995,"122° 24' 36.000"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.41 37.77499),03/06/2020 01:12:47 PM,,South of Market,6,34,32,32,1,10
624,68,Polk St & Broadway,,37.79594,"122° 25' 19.200"" W",-1,-1,-1,-1,-1,-1,245,245,271,-1,,-1,-1,POINT (-122.422 37.79594),03/06/2020 01:12:17 PM,,Russian Hill,3,32,105,105,4,3
568,2,Howard St & 11th St,,37.77312,"122° 24' 57.600"" W",227,250,333,332,323,578,596,596,596,530,,745,872,POINT (-122.416 37.77312),03/06/2020 01:18:33 PM,,Mission,6,20,32,32,1,10
631,75,Arguello Blvd & Fulton St,,37.77429,"122° 27' 28.800"" W",-1,-1,-1,-1,-1,-1,157,157,157,-1,,-1,-1,POINT (-122.458 37.77429),03/06/2020 01:12:25 PM,,Golden Gate Park,1,12,9,9,8,4
447,22,San Jose Ave & Randall St,,37.73986,"122° 25' 26.400"" W",202,-1,302,373,410,534,711,711,589,462,,705,657,POINT (-122.424 37.73986),03/06/2020 01:18:36 PM,,Bernal Heights,8,2,61,61,9,5
592,36,7th Ave & Lincoln Way,,37.76603,"122° 27' 50.400"" W",-1,-1,-1,-1,-1,68,19,19,28,0,,-1,-1,POINT (-122.464 37.76603),03/06/2020 01:19:38 PM,,Golden Gate Park,7,12,109,109,7,11
644,88,Haight St & Webster St,,37.77233,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,44,44,57,-1,,-1,-1,POINT (-122.429 37.77233),03/06/2020 01:12:39 PM,,Hayes Valley,5,9,26,26,4,11
569,3,8th St & Townsend St,,37.77004,"122° 24' 14.400"" W",167,214,264,276,261,502,631,631,649,420,,746,790,POINT (-122.404 37.77004),03/06/2020 01:18:40 PM,,South of Market,6,34,33,33,1,10
445,17,23rd St & Potrero Ave,,37.75458,"122° 24' 21.600"" W",35,34,73,74,70,-1,155,155,106,-1,,-1,-1,POINT (-122.406 37.75458),03/06/2020 01:11:15 PM,,Mission,10,20,54,54,3,9
576,19,SFMTA - Sutter Stockton Garage,,37.79007,"122° 24' 25.200"" W",28,72,97,70,74,-1,172,172,197,-1,,-1,-1,POINT (-122.407 37.79007),03/06/2020 01:11:28 PM,,Financial District/South Beach,3,8,19,19,6,3
602,46,Mission St & Ocean Ave,,37.72389,"122° 26' 6.000"" W",-1,-1,-1,-1,-1,42,46,46,24,0,,-1,-1,POINT (-122.435 37.72389),03/06/2020 01:20:03 PM,,Excelsior,11,7,90,90,9,1
590,34,Market St & 2nd St,,37.78924,"122° 24' 3.600"" W",-1,-1,-1,-1,-1,816,943,943,982,862,,-1,-1,POINT (-122.401 37.78924),03/06/2020 01:17:45 PM,,Financial District/South Beach,6,8,108,108,6,10
633,77,Geary Blvd & Steiner St,,37.78431,"122° 26' 6.000"" W",-1,-1,-1,-1,-1,-1,98,98,139,-1,,-1,-1,POINT (-122.435 37.78431),03/06/2020 01:12:27 PM,,Japantown,5,15,103,103,4,11
654,97,17th St & Church St,,37.762879999999996,"122° 25' 44.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.429 37.76288),03/06/2020 01:12:50 PM,,Castro/Upper Market,8,5,37,37,3,5
